 Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot 
3497.14,490371,4416170,1642.73,-0.00436311,-4.19E-05,0.00961268,0.999944,0.0564236,0,0
3497.54,490371,4416170,1642.73,-0.00449945,-4.33E-05,0.00961268,0.999944,0.108507,0,0
3497.65,490371,4416170,1642.73,-0.00456763,-4.39E-05,0.00961268,0.999943,0.112847,0,0
3497.74,490371,4416170,1642.73,-0.00456763,-0.000043598,0.00954449,0.999944,0.111762,0,0
3498.05,490371,4416170,1642.73,-0.00443128,-4.26E-05,0.00961273,0.999944,0.0824653,0,0
3498.18,490371,4416170,1642.73,-0.00436311,-4.19E-05,0.00961268,0.999944,0.0748698,0,0
3498.54,490371,4416170,1642.73,-0.00429493,-4.13E-05,0.00961273,0.999945,0.0889757,0,0
3498.74,490371,4416170,1642.73,-0.00429493,-4.13E-05,0.00961273,0.999945,0.0987413,0,0
3498.94,490371,4416170,1642.73,-0.00422676,-4.09E-05,0.00968088,0.999944,0.0965712,0,0
3499.06,490371,4416170,1642.73,-0.00429493,-4.16E-05,0.00968088,0.999944,0.094401,0,0
3499.18,490371,4416170,1642.73,-0.0043631,-0.000042241,0.00968088,0.999944,0.0846354,0,0
3499.26,490371,4416170,1642.73,-0.00443128,-4.29E-05,0.00968088,0.999943,0.0846354,0,0
3499.54,490371,4416170,1642.74,-0.00470396,-4.62E-05,0.00981722,0.999941,0.094401,0,0
3499.74,490371,4416170,1642.74,-0.00497666,-4.89E-05,0.00981722,0.999939,0.115017,0,0
3500.06,490371,4416170,1642.75,-0.00524934,-5.23E-05,0.00995353,0.999937,0.164931,0,0
3500.46,490371,4416170,1642.75,-0.00470394,-4.81E-05,0.0102262,0.999937,0.198568,0,0
3500.54,490371,4416170,1642.75,-0.00443125,-4.59E-05,0.0103626,0.999936,0.194227,0,0
3500.68,490371,4416170,1642.75,-0.00415855,-4.37E-05,0.0104989,0.999936,0.183377,0,0
3500.75,490371,4416170,1642.75,-0.00409038,-4.32E-05,0.0105671,0.999936,0.183377,0,0
3501.06,490371,4416170,1642.75,-0.00381769,-0.000040084,0.0104989,0.999938,0.169271,0,0
3501.14,490371,4416170,1642.75,-0.003545,-3.70E-05,0.0104308,0.999939,0.164931,0,0
3501.55,490371,4416170,1642.75,-0.00197702,-2.09E-05,0.0105672,0.999942,0.197483,0,0
3501.65,490370,4416170,1642.75,-0.00149981,-1.57E-05,0.010499,0.999944,0.213759,0,0
3501.86,490370,4416170,1642.75,-0.000545385,-5.73E-06,0.0104991,0.999945,0.236545,0,0
3502.06,490370,4416170,1642.75,0.000204519,2.19E-06,0.0107036,0.999943,0.22895,0,0
3502.14,490370,4416170,1642.75,0.000272692,2.92E-06,0.0107036,0.999943,0.219184,0,0
3502.46,490370,4416170,1642.76,0.000613558,6.44E-06,0.010499,0.999945,0.215929,0,0
3502.54,490370,4416170,1642.76,0.000477211,5.14E-06,0.0107718,0.999942,0.214844,0,0
3502.66,490370,4416170,1642.76,0.000340864,3.72E-06,0.0109081,0.99994,0.225694,0,0
3502.74,490370,4416170,1642.76,0.000409038,4.43E-06,0.0108399,0.999941,0.23763,0,0
3502.86,490370,4416170,1642.76,0.000204519,2.20E-06,0.0107718,0.999942,0.245226,0,0
3502.94,490370,4416170,1642.76,0,0,0.0107036,0.999943,0.253906,0,0
3503.05,490370,4416170,1642.76,0.000136346,1.46E-06,0.0107036,0.999943,0.254991,0,0
3503.14,490370,4416170,1642.77,0.000272692,2.96E-06,0.0108399,0.999941,0.253906,0,0
3503.26,490370,4416170,1642.77,0.000613554,6.86E-06,0.0111808,0.999937,0.248481,0,0
3503.34,490370,4416170,1642.77,0.00122711,1.39E-05,0.0113171,0.999935,0.254991,0,0
3503.54,490370,4416170,1642.77,0.00184065,2.12E-05,0.0115216,0.999932,0.278863,0,0
3503.66,490370,4416170,1642.77,0.00177248,2.05E-05,0.0115898,0.999931,0.296224,0,0
3503.74,490370,4416170,1642.77,0.00170431,1.99E-05,0.011658,0.999931,0.31467,0,0
3503.86,490370,4416170,1642.77,0.00143162,1.68E-05,0.0117261,0.99993,0.311415,0,0
3504.06,490370,4416170,1642.77,0.00143162,1.69E-05,0.0117943,0.999929,0.291884,0,0
3504.19,490370,4416170,1642.77,0.00163613,1.97E-05,0.012067,0.999926,0.252821,0,0
3504.26,490370,4416170,1642.78,0.00177247,2.15E-05,0.0121352,0.999925,0.252821,0,0
3504.34,490370,4416170,1642.78,0.00211333,2.58E-05,0.0122033,0.999923,0.248481,0,0
3504.45,490370,4416170,1642.78,0.0026587,3.21E-05,0.012067,0.999924,0.265842,0,0
3504.55,490370,4416170,1642.78,0.00306774,3.66E-05,0.0119306,0.999924,0.299479,0,0
3504.66,490370,4416170,1642.78,0.00361311,4.31E-05,0.0119306,0.999922,0.343967,0,0
3504.68,490370,4416170,1642.78,0.00381763,4.56E-05,0.0119306,0.999922,0.38737,0,0
3504.86,490370,4416170,1642.79,0.00497654,5.97E-05,0.0119987,0.999916,0.423177,0,0
3505.06,490370,4416170,1642.79,0.00647631,7.68E-05,0.0118623,0.999909,0.461155,0,0
3505.15,490369,4416170,1642.79,0.00681716,0.000080874,0.0118622,0.999906,0.449219,0,0
3505.19,490369,4416170,1642.79,0.00661264,7.89E-05,0.0119304,0.999907,0.411241,0,0
3505.26,490369,4416170,1642.79,0.00593092,7.20E-05,0.012135,0.999909,0.411241,0,0
3505.34,490369,4416170,1642.79,0.00443115,5.47E-05,0.0123396,0.999914,0.376519,0,0
3505.44,490369,4416170,1642.79,0.00306773,3.72E-05,0.0121351,0.999922,0.347222,0,0
3505.54,490369,4416170,1642.79,0.00190882,2.25E-05,0.0117943,0.999929,0.335286,0,0
3505.68,490369,4416170,1642.8,-0.000136344,-1.61E-06,0.0117943,0.99993,0.317925,0,0
3505.74,490369,4416170,1642.8,-0.00109075,-1.31E-05,0.0119989,0.999927,0.317925,0,0
3505.86,490369,4416170,1642.8,-0.0021815,-2.66E-05,0.0122033,0.999923,0.309245,0,0
3505.94,490369,4416170,1642.81,-0.00279504,-3.45E-05,0.0123397,0.99992,0.31467,0,0
3506.06,490369,4416170,1642.81,-0.0033404,-4.17E-05,0.012476,0.999917,0.329861,0,0
3506.15,490369,4416170,1642.81,-0.00402211,-5.07E-05,0.0126123,0.999912,0.350477,0,0
3506.27,490369,4416170,1642.82,-0.00463564,-5.91E-05,0.0127486,0.999908,0.364583,0,0
3506.47,490369,4416170,1642.82,-0.00531731,-7.00E-05,0.0131576,0.999899,0.404731,0,0
3506.55,490369,4416170,1642.82,-0.00477195,-6.31E-05,0.0132258,0.999901,0.418837,0,0
3506.67,490369,4416170,1642.82,-0.00402207,-5.35E-05,0.013294,0.999904,0.430773,0,0
3506.69,490369,4416170,1642.82,-0.00374939,-0.000050105,0.0133622,0.999904,0.442708,0,0
3506.75,490369,4416170,1642.82,-0.00340853,-4.62E-05,0.0135667,0.999902,0.442708,0,0
3506.86,490369,4416170,1642.82,-0.00265864,-3.68E-05,0.0138394,0.999901,0.443793,0,0
3507.06,490369,4416170,1642.81,-0.0011589,-1.58E-05,0.013635,0.999906,0.460069,0,0
3507.14,490369,4416170,1642.81,-0.00109073,-1.51E-05,0.0138395,0.999904,0.474175,0,0
3507.27,490369,4416170,1642.81,-0.00149975,-2.09E-05,0.0139077,0.999902,0.46224,0,0
3507.34,490369,4416170,1642.81,-0.00218144,-3.06E-05,0.0140439,0.999899,0.453559,0,0
3507.47,490369,4416170,1642.81,-0.00306765,-4.31E-05,0.0140439,0.999897,0.455729,0,0
3507.55,490369,4416170,1642.81,-0.00395387,-5.50E-05,0.0139075,0.999895,0.478516,0,0
3507.71,490369,4416170,1642.81,-0.00470375,-6.41E-05,0.0136348,0.999896,0.480686,0,0
3507.78,490368,4416170,1642.81,-0.00558997,-7.55E-05,0.0134984,0.999893,0.440538,0,0
3507.88,490368,4416170,1642.81,-0.00613531,-8.37E-05,0.0136347,0.999888,0.443793,0,0
3507.94,490368,4416170,1642.81,-0.00647615,-8.88E-05,0.0137028,0.999885,0.445964,0,0
3508.06,490368,4416170,1642.81,-0.00674882,-9.34E-05,0.0138392,0.999881,0.451389,0,0
3508.14,490368,4416170,1642.82,-0.00763503,-0.000104113,0.0136345,0.999878,0.441623,0,0
3508.27,490368,4416170,1642.82,-0.00872575,-0.000117202,0.01343,0.999872,0.419922,0,0
3508.35,490368,4416170,1642.82,-0.00981649,-0.000127836,0.0130208,0.999867,0.430773,0,0
3508.46,490368,4416170,1642.82,-0.0109072,-0.00013609,0.0124753,0.999863,0.437283,0,0
3508.54,490368,4416170,1642.82,-0.0119979,-0.000147244,0.0122706,0.999853,0.432943,0,0
3508.66,490368,4416170,1642.82,-0.0128842,-0.000154606,0.0119979,0.999845,0.423177,0,0
