Time, x,y,z,q_x,q_y_,q_z,q_w,x_dot,y_dot,z_dot
294.333,947459,533818,1660.78,0.00261551,0.00547163,0.996948,0.0778336,-0.276998,0,0
294.365,947459,533818,1660.78,0.00261551,0.00547163,0.996948,0.0778336,-0.295998,0,0
294.373,947459,533818,1660.78,0.00261551,0.00547163,0.996948,0.0778336,-0.316998,0,0
294.393,947459,533818,1660.78,0.00261551,0.00547163,0.996948,0.0778336,-0.355998,0,0
294.422,947459,533818,1660.78,0.00261551,0.00547163,0.996948,0.0778336,-0.355998,0,0
294.433,947459,533818,1660.78,0.00287605,0.00531486,0.996959,0.0776965,-0.375998,0,0
294.454,947459,533818,1660.78,0.00287605,0.00531486,0.996959,0.0776965,-0.396998,0,0
294.473,947459,533818,1660.78,0.00287605,0.00531486,0.996959,0.0776965,-0.422998,0,0
294.493,947459,533818,1660.78,0.00287605,0.00531486,0.996959,0.0776965,-0.449998,0,0
294.513,947459,533818,1660.78,0.00287605,0.00531486,0.996959,0.0776965,-0.476999,0,0
294.533,947459,533818,1660.78,0.00265141,0.00527058,0.997183,0.0747748,-0.501998,0,0
294.556,947459,533818,1660.78,0.00265141,0.00527058,0.997183,0.0747748,-0.525999,0,0
294.573,947459,533818,1660.78,0.00265141,0.00527058,0.997183,0.0747748,-0.549999,0,0
294.593,947459,533818,1660.78,0.00265141,0.00527058,0.997183,0.0747748,-0.569999,0,0
294.615,947459,533818,1660.78,0.00265141,0.00527058,0.997183,0.0747748,-0.590999,0,0
294.633,947459,533818,1660.78,0.00331542,0.00530072,0.997469,0.0708271,-0.612998,0,0
294.653,947459,533818,1660.78,0.00331542,0.00530072,0.997469,0.0708271,-0.634999,0,0
294.673,947459,533818,1660.78,0.00331542,0.00530072,0.997469,0.0708271,-0.658998,0,0
294.693,947459,533818,1660.78,0.00331542,0.00530072,0.997469,0.0708271,-0.685998,0,0
294.713,947459,533818,1660.78,0.00331542,0.00530072,0.997469,0.0708271,-0.713998,0,0
294.733,947459,533818,1660.78,0.00303904,0.00553445,0.997704,0.0674274,-0.740999,0,0
294.753,947459,533818,1660.78,0.00303904,0.00553445,0.997704,0.0674274,-0.765999,0,0
294.773,947459,533818,1660.78,0.00303904,0.00553445,0.997704,0.0674274,-0.789999,0,0
294.793,947459,533818,1660.78,0.00303904,0.00553445,0.997704,0.0674274,-0.811999,0,0
294.817,947459,533818,1660.78,0.00303904,0.00553445,0.997704,0.0674274,-0.831999,0,0
294.833,947459,533818,1660.78,0.00192393,0.00561727,0.998017,0.0626716,-0.852998,0,0
294.854,947459,533818,1660.78,0.00192393,0.00561727,0.998017,0.0626716,-0.875998,0,0
294.874,947459,533818,1660.78,0.00192393,0.00561727,0.998017,0.0626716,-0.897999,0,0
294.904,947459,533818,1660.78,0.00192393,0.00561727,0.998017,0.0626716,-0.920999,0,0
294.914,947459,533818,1660.78,0.00192393,0.00561727,0.998017,0.0626716,-0.944999,0,0
294.933,947459,533818,1660.78,0.00252106,0.00572542,0.998267,0.0585166,-0.968999,0,0
294.969,947459,533818,1660.78,0.00252106,0.00572542,0.998267,0.0585166,-0.991999,0,0
294.973,947459,533818,1660.78,0.00252106,0.00572542,0.998267,0.0585166,-1.013,0,0
294.994,947459,533818,1660.78,0.00252106,0.00572542,0.998267,0.0585166,-1.031,0,0
295.054,947459,533818,1660.78,0.00252106,0.00572542,0.998267,0.0585166,-1.049,0,0
295.055,947460,533818,1660.78,0.00215353,0.00568618,0.998499,0.0544348,-1.066,0,0
295.057,947460,533818,1660.78,0.00215353,0.00568618,0.998499,0.0544348,-1.081,0,0
295.073,947460,533818,1660.78,0.00215353,0.00568618,0.998499,0.0544348,-1.099,0,0
295.096,947460,533818,1660.78,0.00215353,0.00568618,0.998499,0.0544348,-1.119,0,0
295.113,947460,533818,1660.78,0.00215353,0.00568618,0.998499,0.0544348,-1.137,0,0
295.134,947460,533818,1660.78,0.00260726,0.00567072,0.998709,0.0504151,-1.154,0,0
295.159,947460,533818,1660.78,0.00260726,0.00567072,0.998709,0.0504151,-1.17,0,0
295.174,947460,533818,1660.78,0.00260726,0.00567072,0.998709,0.0504151,-1.188,0,0
295.193,947460,533817,1660.78,0.00260726,0.00567072,0.998709,0.0504151,-1.205,0,0
295.25,947460,533817,1660.78,0.00260726,0.00567072,0.998709,0.0504151,-1.223,0,0
295.251,947460,533817,1660.78,0.00387959,0.00569045,0.998915,0.046049,-1.246,0,0
295.254,947460,533817,1660.78,0.00387959,0.00569045,0.998915,0.046049,-1.27,0,0
295.276,947460,533817,1660.78,0.00387959,0.00569045,0.998915,0.046049,-1.293,0,0
295.301,947460,533817,1660.78,0.00387959,0.00569045,0.998915,0.046049,-1.312,0,0
295.313,947460,533817,1660.78,0.00387959,0.00569045,0.998915,0.046049,-1.332,0,0
295.333,947460,533817,1660.78,0.00505423,0.00490201,0.999066,0.04264,-1.349,0,0
295.366,947460,533817,1660.78,0.00505423,0.00490201,0.999066,0.04264,-1.362,0,0
295.373,947460,533817,1660.78,0.00505423,0.00490201,0.999066,0.04264,-1.373,0,0
295.393,947460,533817,1660.78,0.00505423,0.00490201,0.999066,0.04264,-1.381,0,0
295.45,947460,533817,1660.78,0.00505423,0.00490201,0.999066,0.04264,-1.391,0,0
295.451,947460,533817,1660.78,0.00503736,0.00477747,0.999163,0.0403247,-1.402,0,0
295.453,947460,533817,1660.78,0.00503736,0.00477747,0.999163,0.0403247,-1.414,0,0
295.486,947460,533817,1660.78,0.00503736,0.00477747,0.999163,0.0403247,-1.432,0,0
295.523,947460,533817,1660.78,0.00503736,0.00477747,0.999163,0.0403247,-1.451,0,0
295.525,947460,533817,1660.78,0.00503736,0.00477747,0.999163,0.0403247,-1.471,0,0
295.533,947460,533817,1660.78,0.0037368,0.00490477,0.99924,0.0384918,-1.49,0,0
295.582,947460,533817,1660.78,0.0037368,0.00490477,0.99924,0.0384918,-1.505,0,0
295.584,947460,533817,1660.78,0.0037368,0.00490477,0.99924,0.0384918,-1.519,0,0
295.594,947460,533817,1660.78,0.0037368,0.00490477,0.99924,0.0384918,-1.526,0,0
295.631,947460,533817,1660.78,0.0037368,0.00490477,0.99924,0.0384918,-1.53,0,0
295.634,947460,533817,1660.77,0.00392163,0.00477243,0.999351,0.0354936,-1.533,0,0
295.653,947460,533817,1660.77,0.00392163,0.00477243,0.999351,0.0354936,-1.54,0,0
295.674,947460,533817,1660.77,0.00392163,0.00477243,0.999351,0.0354936,-1.553,0,0
295.711,947460,533817,1660.77,0.00392163,0.00477243,0.999351,0.0354936,-1.567,0,0
295.713,947460,533817,1660.77,0.00392163,0.00477243,0.999351,0.0354936,-1.583,0,0
295.734,947461,533817,1660.77,0.00498494,0.00483213,0.999543,0.0294234,-1.597,0,0
295.764,947461,533817,1660.77,0.00498494,0.00483213,0.999543,0.0294234,-1.609,0,0
295.773,947461,533817,1660.77,0.00498494,0.00483213,0.999543,0.0294234,-1.622,0,0
295.794,947461,533817,1660.77,0.00498494,0.00483213,0.999543,0.0294234,-1.624,0,0
295.836,947461,533817,1660.77,0.00498494,0.00483213,0.999543,0.0294234,-1.618,0,0
295.839,947461,533817,1660.77,0.00500348,0.00418425,0.999729,0.0223386,-1.608,0,0
295.854,947461,533817,1660.77,0.00500348,0.00418425,0.999729,0.0223386,-1.599,0,0
295.876,947461,533817,1660.77,0.00500348,0.00418425,0.999729,0.0223386,-1.594,0,0
295.907,947461,533817,1660.77,0.00500348,0.00418425,0.999729,0.0223386,-1.594,0,0
295.913,947461,533817,1660.77,0.00500348,0.00418425,0.999729,0.0223386,-1.596,0,0
295.936,947461,533817,1660.77,0.00574509,0.00494625,0.999822,0.017287,-1.607,0,0
296.001,947461,533817,1660.77,0.00574509,0.00494625,0.999822,0.017287,-1.607,0,0
296.003,947461,533817,1660.77,0.00574509,0.00494625,0.999822,0.017287,-1.613,0,0
296.004,947461,533817,1660.77,0.00574509,0.00494625,0.999822,0.017287,-1.612,0,0
296.057,947461,533817,1660.77,0.00574509,0.00494625,0.999822,0.017287,-1.605,0,0
296.06,947461,533817,1660.76,0.00552724,0.00517241,0.999873,0.014015,-1.596,0,0
296.061,947461,533817,1660.76,0.00552724,0.00517241,0.999873,0.014015,-1.588,0,0
296.074,947461,533817,1660.76,0.00552724,0.00517241,0.999873,0.014015,-1.58,0,0
296.098,947461,533817,1660.76,0.00552724,0.00517241,0.999873,0.014015,-1.572,0,0
296.113,947461,533817,1660.76,0.00552724,0.00517241,0.999873,0.014015,-1.565,0,0
296.133,947461,533817,1660.76,0.00483365,0.00574386,0.999916,0.0106074,-1.563,0,0
296.167,947461,533817,1660.76,0.00483365,0.00574386,0.999916,0.0106074,-1.565,0,0
296.173,947461,533817,1660.76,0.00483365,0.00574386,0.999916,0.0106074,-1.569,0,0
296.193,947461,533817,1660.76,0.00483365,0.00574386,0.999916,0.0106074,-1.572,0,0
296.237,947461,533817,1660.76,0.00483365,0.00574386,0.999916,0.0106074,-1.572,0,0
296.237,947461,533817,1660.76,0.00590014,0.00582579,0.999946,0.00630582,-1.569,0,0
296.254,947461,533817,1660.76,0.00590014,0.00582579,0.999946,0.00630582,-1.561,0,0
296.284,947461,533817,1660.76,0.00590014,0.00582579,0.999946,0.00630582,-1.552,0,0
296.299,947461,533817,1660.76,0.00590014,0.00582579,0.999946,0.00630582,-1.54,0,0
296.314,947461,533817,1660.76,0.00590014,0.00582579,0.999946,0.00630582,-1.535,0,0
296.333,947461,533817,1660.76,0.00723974,0.00584676,0.999954,0.00220737,-1.536,0,0
296.367,947461,533817,1660.76,0.00723974,0.00584676,0.999954,0.00220737,-1.539,0,0
296.374,947461,533817,1660.76,0.00723974,0.00584676,0.999954,0.00220737,-1.546,0,0
296.393,947461,533817,1660.76,0.00723974,0.00584676,0.999954,0.00220737,-1.551,0,0
296.431,947461,533817,1660.76,0.00723974,0.00584676,0.999954,0.00220737,-1.553,0,0
296.433,947462,533817,1660.76,0.00783643,0.0054593,0.999954,-0.0007245,-1.553,0,0
296.454,947462,533817,1660.76,0.00783643,0.0054593,0.999954,-0.0007245,-1.551,0,0
296.484,947462,533817,1660.76,0.00783643,0.0054593,0.999954,-0.0007245,-1.548,0,0
296.496,947462,533817,1660.76,0.00783643,0.0054593,0.999954,-0.0007245,-1.545,0,0
296.514,947462,533817,1660.76,0.00783643,0.0054593,0.999954,-0.0007245,-1.543,0,0
296.533,947462,533817,1660.75,0.00939008,0.00521387,0.999936,-0.00352556,-1.542,0,0
296.564,947462,533817,1660.75,0.00939008,0.00521387,0.999936,-0.00352556,-1.543,0,0
296.574,947462,533817,1660.75,0.00939008,0.00521387,0.999936,-0.00352556,-1.549,0,0
296.593,947462,533817,1660.75,0.00939008,0.00521387,0.999936,-0.00352556,-1.567,0,0
