timestep,duration,speed,x_velo_mf,y_velo_mf,x_pos_sf,y_pos_sf,x_pos_nh,y_pos_nh,heading_mf,heading_sf,x_pos_odo,y_pos_odo,heading_odo
301.888000,0.101013,2.006864,2.004669,0.093829,0.202498,0.009478,11.931581,0.045086,0.046771,0.046771,947472.000000,533820.000000,-0.047549
301.989014,0.099976,2.087606,2.084752,0.109128,0.208424,0.010910,12.134079,0.035608,0.052298,0.052298,947473.000000,533820.000000,-0.047693
302.088989,0.098999,2.029595,2.024962,0.137066,0.200469,0.013569,12.342504,0.024698,0.067585,0.067585,947473.000000,533820.000000,-0.047779
302.187988,0.100006,2.026679,2.019593,0.169325,0.201972,0.016934,12.542973,0.011129,0.083645,0.083645,947473.000000,533820.000000,-0.047859
302.287994,0.100006,2.020386,2.020375,0.006622,0.202050,0.000662,12.744945,-0.005805,0.003278,0.003278,947473.000000,533820.000000,-0.048044
302.388000,0.101013,2.077919,2.070397,-0.176635,0.209137,-0.017842,12.946995,-0.006467,6.198077,6.198077,947473.000000,533820.000000,-0.048253
302.489014,0.098999,2.088017,2.076993,0.214282,0.205620,0.021214,13.156132,0.011375,0.102806,0.102806,947474.000000,533820.000000,-0.048367
302.588013,0.099976,2.037204,2.036924,-0.033727,0.203643,-0.003372,13.361752,-0.009838,6.266629,6.266629,947474.000000,533820.000000,-0.048422
302.687988,0.100006,2.080790,2.079512,0.072925,0.207964,0.007293,13.565394,-0.006467,0.035054,0.035054,947474.000000,533820.000000,-0.048555
302.787994,0.100006,2.040919,2.040213,0.053684,0.204034,0.005369,13.773358,-0.013760,0.026307,0.026307,947474.000000,533820.000000,-0.048681
302.888000,0.100006,2.104843,2.103456,0.076398,0.210358,0.007640,13.977392,-0.019128,0.036304,0.036304,947474.000000,533820.000000,-0.048761
302.988007,0.100006,2.065728,2.065425,0.035357,0.206555,0.003536,14.187751,-0.026769,0.017117,0.017117,947475.000000,533821.000000,-0.048816
303.088013,0.099976,2.078991,2.077163,0.087166,0.207666,0.008714,14.394306,-0.030305,0.041939,0.041939,947475.000000,533821.000000,-0.048884
303.187988,0.100006,2.084908,2.083596,0.073952,0.208372,0.007396,14.601972,-0.039019,0.035478,0.035478,947475.000000,533821.000000,-0.048976
303.287994,0.100006,2.105882,2.103248,-0.105302,0.210338,-0.010531,14.810344,-0.046415,6.233161,6.233161,947475.000000,533821.000000,-0.049050
303.388000,0.100006,2.080410,2.079787,-0.050927,0.207991,-0.005093,15.020681,-0.035884,6.258704,6.258704,947475.000000,533821.000000,-0.049122
303.488007,0.100006,2.103731,2.099355,-0.135624,0.209948,-0.013563,15.228673,-0.030791,6.218672,6.218672,947476.000000,533821.000000,-0.049226
303.588013,0.099976,2.009587,2.004681,0.140325,0.200419,0.014029,15.438622,-0.017228,0.069885,0.069885,947476.000000,533821.000000,-0.049309
303.687988,0.100006,2.020109,2.018254,-0.086556,0.201838,-0.008656,15.639041,-0.031257,6.240325,6.240325,947476.000000,533821.000000,-0.049374
303.787994,0.100006,2.156568,2.149625,0.172908,0.214976,0.017292,15.840878,-0.022601,0.080263,0.080263,947476.000000,533821.000000,-0.049458
303.888000,0.101013,2.062033,2.060235,-0.086080,0.208111,-0.008695,16.055855,-0.039892,6.241428,6.241428,947476.000000,533821.000000,-0.049568
303.989014,0.098999,2.131362,2.131353,0.006341,0.211002,0.000628,16.263966,-0.031197,0.002975,0.002975,947477.000000,533821.000000,-0.049677
304.088013,0.100983,2.077557,2.077553,-0.003973,0.209797,-0.000401,16.474968,-0.031825,6.281273,6.281273,947477.000000,533821.000000,-0.049742
304.188995,0.098999,2.235585,2.230725,0.147333,0.220840,0.014586,16.684765,-0.031424,0.065951,0.065951,947477.000000,533822.000000,-0.049831
304.287994,0.100006,2.098761,2.088596,-0.206314,0.208872,-0.020633,16.905605,-0.046009,6.184723,6.184723,947477.000000,533822.000000,-0.049953
304.388000,0.100006,2.171410,2.167525,-0.129838,0.216766,-0.012985,17.114477,-0.025377,6.223355,6.223355,947478.000000,533822.000000,-0.050050
304.488007,0.100006,2.103483,2.097307,-0.161072,0.209744,-0.016108,17.331244,-0.012392,6.206536,6.206536,947478.000000,533822.000000,-0.050137
304.588013,0.100983,2.162270,2.162121,0.025403,0.218337,0.002565,17.540987,0.003716,0.011749,0.011749,947478.000000,533822.000000,-0.050244
304.688995,0.098999,2.070140,2.065098,-0.144389,0.204443,-0.014294,17.759323,0.001151,6.213380,6.213380,947478.000000,533822.000000,-0.050339
304.787994,0.100006,2.117728,2.113393,-0.135431,0.211352,-0.013544,17.963766,0.015445,6.219191,6.219191,947478.000000,533822.000000,-0.050428
304.888000,0.100006,2.184206,2.147485,-0.398826,0.214762,-0.039885,18.175117,0.028989,6.099560,6.099560,947479.000000,533822.000000,-0.050557
304.988007,0.100006,2.090913,2.075081,-0.256817,0.207521,-0.025683,18.389879,0.068874,6.160049,6.160049,947479.000000,533822.000000,-0.050728
305.088013,0.099976,2.165618,2.135709,-0.358680,0.213519,-0.035859,18.597401,0.094557,6.116794,6.116794,947479.000000,533822.000000,-0.050950
305.187988,0.100006,2.095960,2.086410,-0.199853,0.208654,-0.019986,18.810919,0.130416,6.187689,6.187689,947479.000000,533822.000000,-0.051138
305.287994,0.100006,2.107768,2.095245,-0.229421,0.209537,-0.022943,19.019573,0.150403,6.174124,6.174124,947479.000000,533822.000000,-0.051325
305.388000,0.100006,2.147476,2.121549,-0.332694,0.212168,-0.033271,19.229111,0.173346,6.127635,6.127635,947480.000000,533822.000000,-0.051463
305.488007,0.100006,2.064259,2.063799,-0.043591,0.206392,-0.004359,19.441278,0.206618,6.262066,6.262066,947480.000000,533822.000000,-0.051572
305.588013,0.103973,2.112263,2.110608,0.083614,0.219447,0.008694,19.647671,0.210977,0.039595,0.039595,947480.000000,533822.000000,-0.051734
305.691986,0.096008,2.107058,2.093656,-0.237272,0.201008,-0.022780,19.867117,0.202284,6.170338,6.170338,947480.000000,533822.000000,-0.051951
305.787994,0.100006,2.137074,2.120513,-0.265539,0.212064,-0.026556,20.068125,0.225064,6.158610,6.158610,947480.000000,533823.000000,-0.052224
305.888000,0.101013,2.118962,2.098862,-0.291168,0.212013,-0.029412,20.280190,0.251619,6.145339,6.145339,947481.000000,533823.000000,-0.052481
305.989014,0.098999,2.167535,2.164630,-0.112184,0.214296,-0.011106,20.492203,0.281031,6.231406,6.231406,947481.000000,533823.000000,-0.052696
306.088013,0.099976,2.042403,2.039468,0.109445,0.203897,0.010942,20.706499,0.292137,0.053612,0.053612,947481.000000,533823.000000,-0.052896
306.187988,0.100006,2.143831,2.114195,-0.355236,0.211432,-0.035526,20.910397,0.281195,6.116716,6.116716,947481.000000,533823.000000,-0.053092
306.287994,0.101013,2.088197,2.074061,-0.242558,0.209508,-0.024502,21.121828,0.316721,6.166766,6.166766,947482.000000,533823.000000,-0.053341
306.389008,0.098999,2.057644,2.051355,-0.160750,0.203082,-0.015914,21.331335,0.341223,6.204982,6.204982,947482.000000,533823.000000,-0.053626
306.488007,0.100006,2.073830,2.049474,-0.316899,0.204960,-0.031692,21.534418,0.357137,6.129776,6.129776,947482.000000,533823.000000,-0.053901
